Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'P3alphaRecommender']


Iteration 0. Result MAP=0.037129  Configuration tried: [0.65, 0.3, 0.1, 0.2, 0.1, 0.1].


Found a better config at iteration 0, with MAP:0.037129
The new best config is: [0.65, 0.3, 0.1, 0.2, 0.1, 0.1]


Iteration 1. Result MAP=0.027516  Configuration tried: [0.6, 0.3, 0.1, 0.5, 0.5, 0.5].
Iteration 2. Result MAP=0.032210  Configuration tried: [0.6, 0.6, 0.3, 0.3, 0.3, 0.5].
Iteration 3. Result MAP=0.027235  Configuration tried: [0.6, 0.6, 0.4, 0.2, 0.5, 0.1].
Iteration 4. Result MAP=0.032918  Configuration tried: [0.5, 0.45, 0.4, 0.3, 0.2, 0.1].
Iteration 5. Result MAP=0.027852  Configuration tried: [0.5, 0.5, 0.2, 0.3, 0.4, 0.1].
Iteration 6. Result MAP=0.033924  Configuration tried: [0.65, 0.4, 0.5, 0.4, 0.2, 0.1].
Iteration 7. Result MAP=0.032652  Configuration tried: [0.5, 0.4, 0.1, 0.2, 0.2, 0.3].
Iteration 8. Result MAP=0.028687  Configuration tried: [0.65, 0.45, 0.4, 0.5, 0.4, 0.1].
Iteration 9. Result MAP=0.028023  Configuration tried: [0.6, 0.45, 0.3, 0.5, 0.5, 0.4].
Iteration 10. Result MAP=0.032289  Configuration tried: [0.7, 0.4, 0.1, 0.5, 0.3, 0.5].
Iteration 11. Result MAP=0.030668  Configuration tried: [0.7, 0.6, 0.1, 0.5, 0.4, 0.5].
Iteration 12. Result MAP=0.027637  Configuration tried: [0.7, 0.45, 0.3, 0.3, 0.5, 0.4].
Iteration 13. Result MAP=0.028839  Configuration tried: [0.5, 0.6, 0.1, 0.2, 0.4, 0.4].
Iteration 14. Result MAP=0.033525  Configuration tried: [0.55, 0.4, 0.3, 0.1, 0.2, 0.5].
Iteration 15. Result MAP=0.026882  Configuration tried: [0.65, 0.4, 0.2, 0.3, 0.5, 0.3].
Iteration 16. Result MAP=0.034872  Configuration tried: [0.5, 0.45, 0.5, 0.5, 0.2, 0.2].
Iteration 17. Result MAP=0.039192  Configuration tried: [0.7, 0.5, 0.2, 0.1, 0.1, 0.3].


Found a better config at iteration 17, with MAP:0.039192
The new best config is: [0.7, 0.5, 0.2, 0.1, 0.1, 0.3]


Iteration 18. Result MAP=0.039677  Configuration tried: [0.55, 0.45, 0.5, 0.4, 0.1, 0.1].


Found a better config at iteration 18, with MAP:0.039677
The new best config is: [0.55, 0.45, 0.5, 0.4, 0.1, 0.1]


Iteration 19. Result MAP=0.028392  Configuration tried: [0.7, 0.5, 0.1, 0.1, 0.4, 0.3].
Iteration 20. Result MAP=0.028315  Configuration tried: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5].
Iteration 21. Result MAP=0.028361  Configuration tried: [0.55, 0.4, 0.3, 0.4, 0.4, 0.3].
Iteration 22. Result MAP=0.039427  Configuration tried: [0.5, 0.45, 0.5, 0.3, 0.1, 0.2].
