Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']


Iteration 0. Result MAP=0.043425  Configuration tried: [1, 1, 0.4, 0.6, 0.05, 0.7].


Found a better config at iteration 0, with MAP:0.043425
The new best config is: [1, 1, 0.4, 0.6, 0.05, 0.7]


Iteration 1. Result MAP=0.043656  Configuration tried: [0.8, 1, 0.3, 1, 0.3, 0.7].


Found a better config at iteration 1, with MAP:0.043656
The new best config is: [0.8, 1, 0.3, 1, 0.3, 0.7]


Iteration 2. Result MAP=0.044065  Configuration tried: [0.8, 0.8, 0.3, 0.6, 0.1, 0.5].


Found a better config at iteration 2, with MAP:0.044065
The new best config is: [0.8, 0.8, 0.3, 0.6, 0.1, 0.5]


Iteration 3. Result MAP=0.043341  Configuration tried: [0.5, 0.8, 0.4, 1, 0.3, 0.6].
Iteration 4. Result MAP=0.042420  Configuration tried: [0.7, 0.6, 0.1, 0.9, 0.4, 0.3].
Iteration 5. Result MAP=0.042588  Configuration tried: [0.7, 0.7, 0.5, 0.7, 0.4, 0.6].
Iteration 6. Result MAP=0.043044  Configuration tried: [1, 0.5, 0.5, 0.7, 0.3, 0.7].
Iteration 7. Result MAP=0.042480  Configuration tried: [0.9, 0.6, 0.2, 0.8, 0.4, 0.4].
Iteration 8. Result MAP=0.043731  Configuration tried: [1, 0.7, 0.3, 0.5, 0.2, 0.3].
Iteration 9. Result MAP=0.042186  Configuration tried: [0.8, 0.5, 0.2, 0.9, 0.4, 0.3].
Iteration 10. Result MAP=0.044172  Configuration tried: [0.8, 0.8, 0.2, 0.9, 0.1, 0.4].


Found a better config at iteration 10, with MAP:0.044172
The new best config is: [0.8, 0.8, 0.2, 0.9, 0.1, 0.4]


Iteration 11. Result MAP=0.043534  Configuration tried: [0.8, 0.7, 0.5, 0.8, 0.3, 0.3].
Iteration 12. Result MAP=0.042984  Configuration tried: [0.7, 0.9, 0.5, 0.8, 0.4, 0.5].
Iteration 13. Result MAP=0.044097  Configuration tried: [1, 0.8, 0.2, 0.9, 0.15, 0.7].
Iteration 14. Result MAP=0.043444  Configuration tried: [0.7, 0.9, 0.1, 0.9, 0.05, 0.3].
Iteration 15. Result MAP=0.043786  Configuration tried: [0.8, 0.9, 0.3, 0.5, 0.1, 0.4].
Iteration 16. Result MAP=0.043484  Configuration tried: [1, 0.7, 0.4, 0.6, 0.3, 0.5].
Iteration 17. Result MAP=0.043831  Configuration tried: [0.7, 0.8, 0.2, 0.7, 0.2, 0.3].
Iteration 18. Result MAP=0.043335  Configuration tried: [1, 1, 0.5, 0.6, 0.4, 0.3].
Iteration 19. Result MAP=0.043286  Configuration tried: [0.5, 0.9, 0.4, 0.6, 0.3, 0.7].
Iteration 20. Result MAP=0.044045  Configuration tried: [0.9, 1, 0.4, 0.8, 0.1, 0.7].
Iteration 21. Result MAP=0.043122  Configuration tried: [0.8, 1, 0.4, 0.5, 0.4, 0.5].
